Year,Bearing Acres,Volume (millions of pounds),Crop Value ($),Price Per Pound (Â¢),Average Dollars Per Bearing Acre ($),Average Pounds Per Bearing Acre
1971-1972,19039,51.7,24608846.0,47.58,1293.0,2715
1972-1973,19611,139.9,38188186.0,27.28,1947.0,7134
1973-1974,20741,105.9,41997543.0,39.63,2025.0,5106
1974-1975,20715,208.7,49529969.0,23.73,2391.0,10075
1975-1976,24882,116.0,61000794.0,52.6,2452.0,4662
1976-1977,29041,239.1,71220507.0,29.78,2452.0,8233
1977-1978,33866,213.4,79685614.0,37.33,2353.0,6301
1978-1979,39802,246.2,85359795.0,34.67,2145.0,6186
1979-1980,44369,148.4,111003231.0,74.79,2502.0,3345
1980-1981,47831,475.5,84963825.0,17.87,1776.0,9941
1981-1982,64798,312.6,107740745.0,34.47,1663.0,4824
1982-1983,69448,402.8,92622286.0,22.99,1334.0,5800
1983-1984,72296,492.5,91102869.0,18.5,1260.0,6812
1984-1985,72861,396.9,115562999.0,29.1,1586.0,5447
1985-1986,74131,319.2,162095058.0,50.78,2187.0,4306
1986-1987,74812,555.6,93875414.0,16.9,1255.0,7427
1987-1988,76307,358.1,203796649.0,56.91,2671.0,4693
1988-1989,75062,329.6,207124111.0,62.84,2759.0,4391
1989-1990,73368,207.9,237547848.0,114.23,3238.0,2834
1990-1991,71007,271.5,193188395.0,71.16,2721.0,3824
1991-1992,69582,310.9,182596792.0,58.73,2624.0,4468
1992-1993,68159,569.8,117939346.0,20.7,1730.0,8360
1993-1994,66865,271.0,251086521.0,92.67,3755.0,4053
1994-1995,61254,304.2,227313720.0,74.73,3711.0,4966
1995-1996,61125,340.4,235225728.0,69.1,3848.0,5569
1996-1997,60674,329.1,258991040.0,78.71,4269.0,5424
1997-1998,59895,304.9,261126590.0,85.64,4360.0,5091
1998-1999,59385,271.5,328745982.0,121.09,5536.0,4572
1999-2000,58987,321.1,339443632.0,105.71,5755.0,5444
2000-2001,58601,422.3,314919286.0,74.57,5374.0,7206
2001-2002,58227,399.7,357785350.0,89.51,6145.0,6865
2002-2003,59326,335.2,363104986.0,108.32,6121.0,5650
2003-2004,60566,431.8,379846520.0,87.97,6272.0,7129
2004-2005,61712,300.4,275034420.0,91.55,4457.0,4868
2005-2006,62093,600.9,341175673.0,56.78,5495.0,9677
2006-2007,64999,259.3,244911167.0,94.45,3768.0,3989
2007-2008,65497,328.8,327141689.0,99.5,4995.0,5020
2008-2009,64555,174.5,199625988.0,114.4,3092.0,2703
2009-2010,58268,534.5,402770893.0,75.35,6912.0,9173
2010-2011,57532,302.5,460209682.0,152.1,7999.0,5258
2011-2012,59629,462.3,381852467.0,82.6,6404.0,7753
2012-2013,57838,500.2,435023142.0,87.0,7521.0,8648
2013-2014,57219,297.5,333216563.0,112.0,5823.0,5199
2014-2015,51478,279.0,303160400.0,108.6,5889.0,5420
2015-2016,51902,401.4,412332493.0,102.7,7944.0,7733
2016-2017,50856,215.9,345875896.0,160.2,6801.0,4245
2017-2018,49986,337.8,383129253.0,113.4,7665.0,6758
2018-2019,47158,216.6,372285783.0,171.8,7894.0,4594
2019-2020,46078,375.5,411490578.0,109.6,8930.0,8149
2020-2021,47334,269.7,327605005.0,121.5,6921.0,5698
2021-2022,46727,276.1,486549026.0,176.2,10412.0,5909
2022-2023,47505,233.1,237007667.0,101.7,4989.0,4907
